,Smiles,pIC50
15,COc1ccc(OC)c(Sc2cc(C)c3nnc(-c4cnn(C)c4)n3n2)c1,4.5
16,COc1ccc(OC)c(C(O)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1,5.04
17,COc1ccc(C(C)C)cc1Sc1ccc2nnc(-c3cnn(C)c3)n2n1,5.87
19,COc1ccc(OC)c(Sc2ccc3nnc(-c4cnccn4)n3n2)c1,6.06
20,COc1ccc(OC)c(Sc2ccc3nnc(-c4ccncc4)n3n2)c1,6.46
41,COc1ccc(OC)c(Sc2nn3c(-c4cnn(C)c4)nnc3cc2C)c1,4.5
42,COc1ccc(OC)c(N(C)c2ccc3nnc(-c4cnn(C)c4)n3n2)c1,4.66
44,COc1cncc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)n1,7.74
45,COCCn1cc(-c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)cn1,8.82
46,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(-c5ccncc5)cc34)ncn2)C[C@H](C)O1,7.3
47,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(-c5cccc(C#N)c5)cc34)ncn2)C[C@H](C)O1,7.32
48,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,7.79
49,FC1(F)CCN(c2cc(-c3n[nH]c4ccc(C5=CCNCC5)cc34)ncn2)CC1,6.92
50,FC1(F)CCN(c2cc(-c3n[nH]c4ccc(-c5cc[nH]n5)cc34)ncn2)CC1,8.67
51,CC1(C)CC(=O)C=C(c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)C1,8.79
52,Cc1n[nH]c(C)c1-c1ccc2[nH]nc(-c3cc(N4CCOCC4)ncn3)c2c1,8.59
53,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5cn[nH]c5)cc34)ncn2)CC1,9.02
54,CC(C)N1CCN(c2cc(-c3n[nH]c4ccc(-c5ccn[nH]5)cc34)ncn2)CC1,8.63
55,CC(C)Oc1cc2c(-c3cc(N4CCN(S(=O)(=O)C5CC5)CC4)ncn3)n[nH]c2cc1F,8.38
56,CCN1CCN(c2cc(-c3n[nH]c4ccc(OC)cc34)ncn2)CC1=O,7.11
57,COCCOc1ccc2[nH]nc(-c3cc(N4CCN(C5CC5)CC4)ncn3)c2c1,7.01
58,COC[C@H](C)Oc1ccc2[nH]nc(-c3cc(N4CCC5(CC4)CNC(=O)C5)ncn3)c2c1,8.54
