"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL2348984";"";"None";"355.32";"0";"4.55";"51";"FC(F)(F)c1cccc(Nc2ccc3nnc(-c4ccccc4)n3n2)c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348982";"";"None";"450.47";"1";"5.20";"49";"CCOC(=O)c1cc(Sc2cccc(C(F)(F)F)c2)nn2c(-c3cccs3)nnc12";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348967";"";"None";"395.39";"0";"4.30";"33";"FC(F)(F)Oc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1";"IC50";"'='";"67.0";"nM";"7.17";"";"";"UO_0000065";"18.14";"0.38";"2.87";"11.00";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348962";"";"None";"390.29";"0";"4.16";"28";"Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"21.07";"0.51";"4.06";"14.69";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348956";"";"None";"336.34";"0";"4.17";"21";"FC(F)(F)c1cccc(Sc2ccc3nnc(C4CC4)n3n2)c1";"IC50";"'='";"309.0";"nM";"6.51";"";"";"UO_0000065";"19.36";"0.39";"2.34";"15.11";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348955";"";"None";"390.37";"1";"5.10";"20";"Fc1ccc(-c2nnc3ccc(Sc4cccc(C(F)(F)F)c4)nn23)cc1";"IC50";"'='";"179.0";"nM";"6.75";"";"";"UO_0000065";"17.28";"0.34";"1.65";"15.66";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348943";"";"None";"319.41";"0";"3.11";"8";"COC(=O)C(C)Sc1ccc2ncc(-c3cccs3)n2n1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"25.05";"0.52";"4.89";"14.16";"0";"CHEMBL2351468";"Inhibition of LRRK2 G2019S mutant (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"Q5S007";"G2019S";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348983";"";"None";"356.31";"0";"4.60";"50";"FC(F)(F)c1cccc(Oc2ccc3nnc(-c4ccccc4)n3n2)c1";"IC50";"'>'";"4000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348962";"";"None";"390.29";"0";"4.16";"28";"Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"19.20";"0.47";"3.33";"13.39";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL2348961";"";"None";"372.38";"0";"4.96";"27";"FC(F)(F)c1ccccc1Sc1ccc2nnc(-c3ccccc3)n2n1";"IC50";"'='";"3168.0";"nM";"5.50";"";"";"UO_0000065";"14.77";"0.29";"0.54";"12.77";"0";"CHEMBL2351467";"Inhibition of wild type LRRK2 (unknown origin) by TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075104";"Leucine-rich repeat serine/threonine-protein kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2346543";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
